id,lat,long,truck_num,date,weight
122005.566_484244.623-Rest,52.345127,4.9030085,truck4,2021-12-30T10:42:39.000Z,265
124659.734_481324.898-Rest,52.31904,4.94222,truck4,2021-12-30T11:09:21.000Z,205
124710.178_481232.665-Rest,52.31821,4.9429684,truck4,2021-12-30T11:12:45.000Z,100
124792.878_481083.667-Rest,52.31688,4.944195,truck4,2021-12-30T11:16:10.000Z,70
124260.459_484535.147-Rest,52.347866,4.936072,truck4,2021-12-30T11:51:26.000Z,120
124184.286_484473.842-Rest,52.347313,4.9349594,truck4,2021-12-30T11:54:59.000Z,170
124155.060_484353.949-Rest,52.346233,4.934541,truck4,2021-12-30T12:00:58.000Z,450
124139.108_484260.269-Rest,52.34539,4.934316,truck4,2021-12-30T12:04:51.000Z,165
124475.841_484552.327-Rest,52.348034,4.939231,truck4,2021-12-30T12:11:38.000Z,125
120893.231_482973.819-Rest,52.333637,4.886814,truck5,2021-12-30T05:40:23.000Z,140
120893.231_482973.819-Rest,52.333637,4.886814,truck5,2021-12-30T05:42:42.000Z,110
119944.708_483119.956-Rest,52.334892,4.872896,truck5,2021-12-30T05:52:09.000Z,75
119944.708_483119.956-Rest,52.334892,4.872896,truck5,2021-12-30T05:53:41.000Z,55
120555.624_483005.221-Rest,52.333897,4.881858,truck5,2021-12-30T05:58:34.000Z,40
120555.624_483005.221-Rest,52.333897,4.881858,truck5,2021-12-30T06:00:16.000Z,15
120576.346_483043.951-Rest,52.334248,4.882158,truck5,2021-12-30T06:04:28.000Z,30
120576.346_483043.951-Rest,52.334248,4.882158,truck5,2021-12-30T06:06:23.000Z,0
120597.270_483082.890-Rest,52.3346,4.8824606,truck5,2021-12-30T06:09:49.000Z,40
120506.127_483089.535-Rest,52.334652,4.881123,truck5,2021-12-30T06:15:26.000Z,55
120506.127_483089.535-Rest,52.334652,4.881123,truck5,2021-12-30T06:17:56.000Z,10
120506.127_483089.535-Rest,52.334652,4.881123,truck5,2021-12-30T06:18:51.000Z,0
120235.156_482814.733-Rest,52.332165,4.877176,truck5,2021-12-30T06:23:37.000Z,675
120349.078_482617.510-Rest,52.330402,4.878867,truck5,2021-12-30T06:25:18.000Z,140
120085.962_482760.824-Rest,52.331673,4.874993,truck5,2021-12-30T06:27:55.000Z,85
120136.897_482554.962-Rest,52.329826,4.875761,truck5,2021-12-30T06:29:17.000Z,145
120136.897_482554.962-Rest,52.329826,4.875761,truck5,2021-12-30T06:30:57.000Z,250
120124.116_482619.713-Rest,52.330406,4.875567,truck5,2021-12-30T06:34:21.000Z,230
119784.703_483024.633-Rest,52.334023,4.8705454,truck5,2021-12-30T06:39:10.000Z,270
119784.703_483024.633-Rest,52.334023,4.8705454,truck5,2021-12-30T06:40:26.000Z,235
119784.703_483024.633-Rest,52.334023,4.8705454,truck5,2021-12-30T06:41:33.000Z,385
119788.260_482838.215-Rest,52.332348,4.8706174,truck5,2021-12-30T06:44:31.000Z,65
119884.838_483018.680-Rest,52.333977,4.8720155,truck5,2021-12-30T06:45:57.000Z,285
119884.838_483018.680-Rest,52.333977,4.8720155,truck5,2021-12-30T06:47:21.000Z,375
119884.838_483018.680-Rest,52.333977,4.8720155,truck5,2021-12-30T06:48:30.000Z,270
119858.791_482660.698-Rest,52.330757,4.8716707,truck5,2021-12-30T06:53:55.000Z,110
