id,lat,long,avg_weight,container_type,num_weights
114321.153_486189.836-Rest,52.361602104306485,4.790182605895084,278.4,Normal container,16
114321.212_486135.099-Rest,52.36024210429864,4.790232605892892,407.7,Normal container,13
114326.205_485974.568-Rest,52.36013210429806,4.7902026058911,422.1,Normal container,81
114326.549_485975.163-Rest,52.35988210429628,4.790392605899258,378.3,Normal container,3
114333.289_485933.062-Rest,52.35485210426787,4.79066260589515,336.5,Normal container,55
114346.482_485380.927-Rest,52.36152210430528,4.7905526059123416,345.4,Normal container,70
114352.105_486112.288-Rest,52.343152104207846,4.790692605857386,413.3,Normal container,6
114353.988_484091.003-Rest,52.350462104244265,4.79081260588751,354.1,Normal container,29
114355.745_484895.659-Rest,52.36111210430271,4.790662605916174,371.8,Normal container,28
114357.947_486089.164-Rest,52.36242210431008,4.790742605924374,287.1,Normal container,12
114361.108_486224.205-Rest,52.360842104301234,4.790632605913847,194.8,Normal container,26
114364.741_486053.526-Rest,52.35852210428813,4.790632605906051,319.4,Normal container,16
114364.805_485799.392-Rest,52.37840210440938,4.79037260596069,216.1,Normal container,52
114367.603_488005.076-Rest,52.37845210440961,4.790412605962764,424.5,Normal container,97
114368.683_488005.075-Rest,52.36337210431574,4.790662605923777,362.5,Normal container,2
114369.468_486335.256-Rest,52.34959210423929,4.791042605895443,292.6,Normal container,85
114372.297_484800.627-Rest,52.354042104262746,4.791022605909443,252.9,Normal container,26
114376.055_485289.272-Rest,52.36054210429903,4.790872605924204,341.1,Normal container,74
114378.046_486012.420-Rest,52.34239210420283,4.7913626058863565,50.0,Normal container,6
114387.784_483992.569-Rest,52.38145210442855,4.790882605995355,238.7,Normal container,27
114388.111_488340.552-Rest,52.38141210442813,4.790952605998558,398.2,Normal container,20
114388.300_488340.510-Rest,52.36093210430032,4.791332605947305,375.5,Normal container,76
114401.463_486064.107-Rest,52.34383210420946,4.791502605897778,333.8,Normal container,39
114405.877_484169.416-Rest,52.347082104225656,4.791462605906811,532.6,Normal container,27
114408.018_484517.279-Rest,52.35765210428203,4.791232605931511,308.1,Normal container,59
114408.205_485683.538-Rest,52.36001210429541,4.791162605936151,295.9,Normal container,47
114409.084_485957.308-Rest,52.34614210422024,4.791802605919671,394.1,Normal container,74
114417.465_484411.097-Rest,52.38170210442954,4.791222606012433,273.6,Normal container,59
114428.262_488374.197-Rest,52.344412104211,4.792142605929856,339.3,Normal container,94
114449.127_484235.026-Rest,52.3614821043022,4.791942605978062,271.2,Normal container,29
114451.491_486109.962-Rest,52.36268210430882,4.792102605989711,284.9,Normal container,75
114455.453_486254.323-Rest,52.3636421043146,4.792012605988701,287.1,Normal container,40
114459.813_486364.366-Rest,52.37937210441301,4.791722606028361,318.3,Normal container,87
114461.630_488110.220-Rest,52.357892104281625,4.7920926059730125,242.8,Normal container,50
114462.684_485720.350-Rest,52.35495210426505,4.792312605973468,240.4,Normal container,47
114464.932_485384.135-Rest,52.3458421042173,4.792502605951633,278.8,Normal container,17
114466.745_484378.558-Rest,52.35617210427175,4.792272605975707,314.2,Normal container,53
114468.163_485522.995-Rest,52.35721210427762,4.792212605976388,329.8,Normal container,71
114471.034_485628.299-Rest,52.379402104411874,4.792382606059948,318.3,Normal container,65
114493.265_488121.392-Rest,52.35508210426474,4.79280260599707,397.9,Normal container,196
114494.206_485405.080-Rest,52.35503210426453,4.792782605995956,298.8,Normal container,56
114494.903_485405.359-Rest,52.35889210428609,4.792642606002434,289.0,Normal container,5
114500.543_485836.438-Rest,52.35777210427951,4.792802606006204,263.8,Normal container,47
114508.937_485714.022-Rest,52.36037210429368,4.7930026060245146,264.7,Normal container,48
114516.314_485992.474-Rest,52.34770210422511,4.793252605993272,247.1,Normal container,62
