id,lat,long
114372.297_484800.627-Rest,52.349613,4.790927
114376.055_485289.272-Rest,52.354004,4.790923
114387.784_483992.569-Rest,52.34235,4.7912517
114388.111_488340.552-Rest,52.381428,4.7907314
114402.339_489332.319-Rest,52.390343,4.7908206
114405.877_484169.416-Rest,52.34394,4.791496
114408.018_484517.279-Rest,52.34707,4.7914853
114408.205_485683.538-Rest,52.357548,4.7913475
114409.803_485957.457-Rest,52.360012,4.791338
114416.482_485841.627-Rest,52.35897,4.79145
114417.465_484411.097-Rest,52.346115,4.791637
114428.262_488374.197-Rest,52.381733,4.791317
114449.127_484235.026-Rest,52.344536,4.792123
114451.491_486109.962-Rest,52.361385,4.791931
114459.813_486364.366-Rest,52.36367,4.7920227
114461.630_488110.220-Rest,52.379364,4.791839
114462.684_485720.350-Rest,52.357883,4.792143
114464.932_485384.135-Rest,52.354862,4.7922163
114468.163_485522.995-Rest,52.35611,4.792247
114471.034_485628.299-Rest,52.357056,4.7922764
114500.543_485836.438-Rest,52.35893,4.7926846
114508.937_485714.022-Rest,52.35783,4.7928224
114516.314_485992.474-Rest,52.360332,4.792897
114525.275_484570.301-Rest,52.347553,4.7931995
114526.510_484225.723-Rest,52.344456,4.793259
114541.417_486387.551-Rest,52.363888,4.793218
114543.918_486138.089-Rest,52.361645,4.793285
114556.126_484394.705-Rest,52.345978,4.7936735
114559.598_485137.033-Rest,52.35265,4.7936354
114564.654_485745.071-Rest,52.358112,4.7936363
114568.121_485048.342-Rest,52.351852,4.7937713
114570.279_485255.559-Rest,52.353714,4.793778
114572.400_484538.865-Rest,52.347275,4.7938952
114572.874_486381.070-Rest,52.36383,4.7936807
114579.749_484429.945-Rest,52.346294,4.794016
114584.793_486293.442-Rest,52.363045,4.793866
114585.432_485341.431-Rest,52.35449,4.79399
114596.843_485647.323-Rest,52.35724,4.794121
114608.407_485746.590-Rest,52.35813,4.7942786
114610.365_485431.763-Rest,52.3553,4.794345
114610.472_485595.951-Rest,52.356777,4.794327
114615.759_483906.551-Rest,52.341595,4.794607
114616.861_484376.432-Rest,52.345818,4.794567
114624.333_485578.179-Rest,52.356617,4.7945323
114626.570_485685.364-Rest,52.357582,4.7945523
